date_id;year;month;day;day_of_week;week
20160915;2016;9;15;5;38
20161003;2016;10;3;2;41
20161004;2016;10;4;3;41
20161005;2016;10;5;4;41
20161006;2016;10;6;5;41
20161007;2016;10;7;6;41
20161008;2016;10;8;7;41
20161009;2016;10;9;1;42
20161010;2016;10;10;2;42
20161011;2016;10;11;3;42
20161012;2016;10;12;4;42
20161013;2016;10;13;5;42
20161014;2016;10;14;6;42
20161015;2016;10;15;7;42
20161016;2016;10;16;1;43
20161017;2016;10;17;2;43
20161018;2016;10;18;3;43
20161019;2016;10;19;4;43
20161020;2016;10;20;5;43
20161021;2016;10;21;6;43
20161022;2016;10;22;7;43
20161023;2016;10;23;1;44
20161024;2016;10;24;2;44
20161025;2016;10;25;3;44
20161026;2016;10;26;4;44
20161027;2016;10;27;5;44
20161028;2016;10;28;6;44
20161029;2016;10;29;7;44
20161030;2016;10;30;1;45
20161031;2016;10;31;2;45
20161101;2016;11;1;3;45
20161103;2016;11;3;5;45
20161104;2016;11;4;6;45
20161105;2016;11;5;7;45
20161107;2016;11;7;2;46
20161108;2016;11;8;3;46
20161109;2016;11;9;4;46
20161110;2016;11;10;5;46
20161111;2016;11;11;6;46
20161114;2016;11;14;2;47
20161116;2016;11;16;4;47
20161117;2016;11;17;5;47
20161118;2016;11;18;6;47
20161120;2016;11;20;1;48
20161121;2016;11;21;2;48
20161123;2016;11;23;4;48
20161124;2016;11;24;5;48
20161125;2016;11;25;6;48
20161126;2016;11;26;7;48
20161128;2016;11;28;2;49
20161129;2016;11;29;3;49
20161130;2016;11;30;4;49
20161201;2016;12;1;5;49
20161202;2016;12;2;6;49
20161205;2016;12;5;2;50
20161206;2016;12;6;3;50
20161207;2016;12;7;4;50
20161208;2016;12;8;5;50
20161209;2016;12;9;6;50
20161212;2016;12;12;2;51
20161213;2016;12;13;3;51
20161214;2016;12;14;4;51
20161215;2016;12;15;5;51
20161216;2016;12;16;6;51
20161219;2016;12;19;2;52
20161220;2016;12;20;3;52
20161223;2016;12;23;6;52
20161227;2016;12;27;3;53
20161228;2016;12;28;4;53
20170105;2017;1;5;5;1
20170106;2017;1;6;6;1
20170107;2017;1;7;7;1
20170108;2017;1;8;1;2
20170109;2017;1;9;2;2
20170110;2017;1;10;3;2
20170111;2017;1;11;4;2
20170112;2017;1;12;5;2
20170113;2017;1;13;6;2
20170114;2017;1;14;7;2
20170115;2017;1;15;1;3
20170116;2017;1;16;2;3
20170117;2017;1;17;3;3
20170118;2017;1;18;4;3
20170119;2017;1;19;5;3
20170120;2017;1;20;6;3
20170121;2017;1;21;7;3
20170122;2017;1;22;1;4
20170123;2017;1;23;2;4
20170124;2017;1;24;3;4
20170125;2017;1;25;4;4
20170126;2017;1;26;5;4
20170127;2017;1;27;6;4
20170128;2017;1;28;7;4
20170129;2017;1;29;1;5
20170130;2017;1;30;2;5
20170131;2017;1;31;3;5
20170201;2017;2;1;4;5
20170202;2017;2;2;5;5
20170203;2017;2;3;6;5
20170204;2017;2;4;7;5
20170205;2017;2;5;1;6
20170206;2017;2;6;2;6
20170207;2017;2;7;3;6
20170208;2017;2;8;4;6
20170209;2017;2;9;5;6
20170210;2017;2;10;6;6
20170211;2017;2;11;7;6
20170212;2017;2;12;1;7
20170213;2017;2;13;2;7
20170214;2017;2;14;3;7
20170215;2017;2;15;4;7
20170216;2017;2;16;5;7
20170217;2017;2;17;6;7
20170218;2017;2;18;7;7
20170219;2017;2;19;1;8
20170220;2017;2;20;2;8
20170221;2017;2;21;3;8
20170222;2017;2;22;4;8
20170223;2017;2;23;5;8
20170224;2017;2;24;6;8
20170225;2017;2;25;7;8
20170226;2017;2;26;1;9
20170227;2017;2;27;2;9
20170228;2017;2;28;3;9
20170301;2017;3;1;4;9
20170302;2017;3;2;5;9
20170303;2017;3;3;6;9
20170304;2017;3;4;7;9
20170305;2017;3;5;1;10
20170306;2017;3;6;2;10
20170307;2017;3;7;3;10
20170308;2017;3;8;4;10
20170309;2017;3;9;5;10
20170310;2017;3;10;6;10
20170311;2017;3;11;7;10
20170312;2017;3;12;1;11
20170313;2017;3;13;2;11
20170314;2017;3;14;3;11
20170315;2017;3;15;4;11
20170316;2017;3;16;5;11
20170317;2017;3;17;6;11
20170318;2017;3;18;7;11
20170319;2017;3;19;1;12
20170320;2017;3;20;2;12
20170321;2017;3;21;3;12
20170322;2017;3;22;4;12
20170323;2017;3;23;5;12
20170324;2017;3;24;6;12
20170325;2017;3;25;7;12
20170326;2017;3;26;1;13
20170327;2017;3;27;2;13
20170328;2017;3;28;3;13
20170329;2017;3;29;4;13
20170330;2017;3;30;5;13
20170331;2017;3;31;6;13
20170401;2017;4;1;7;13
20170402;2017;4;2;1;14
20170403;2017;4;3;2;14
20170404;2017;4;4;3;14
20170405;2017;4;5;4;14
20170406;2017;4;6;5;14
20170407;2017;4;7;6;14
20170408;2017;4;8;7;14
20170409;2017;4;9;1;15
20170410;2017;4;10;2;15
20170411;2017;4;11;3;15
20170412;2017;4;12;4;15
20170413;2017;4;13;5;15
20170414;2017;4;14;6;15
20170415;2017;4;15;7;15
20170416;2017;4;16;1;16
20170417;2017;4;17;2;16
20170418;2017;4;18;3;16
20170419;2017;4;19;4;16
20170420;2017;4;20;5;16
20170421;2017;4;21;6;16
20170422;2017;4;22;7;16
20170423;2017;4;23;1;17
20170424;2017;4;24;2;17
20170425;2017;4;25;3;17
20170426;2017;4;26;4;17
20170427;2017;4;27;5;17
20170428;2017;4;28;6;17
20170429;2017;4;29;7;17
20170430;2017;4;30;1;18
20170501;2017;5;1;2;18
20170502;2017;5;2;3;18
20170503;2017;5;3;4;18
20170504;2017;5;4;5;18
20170505;2017;5;5;6;18
20170506;2017;5;6;7;18
20170507;2017;5;7;1;19
20170508;2017;5;8;2;19
20170509;2017;5;9;3;19
20170510;2017;5;10;4;19
20170511;2017;5;11;5;19
20170512;2017;5;12;6;19
20170513;2017;5;13;7;19
20170514;2017;5;14;1;20
20170515;2017;5;15;2;20
20170516;2017;5;16;3;20
20170517;2017;5;17;4;20
20170518;2017;5;18;5;20
20170519;2017;5;19;6;20
20170520;2017;5;20;7;20
20170521;2017;5;21;1;21
20170522;2017;5;22;2;21
20170523;2017;5;23;3;21
20170524;2017;5;24;4;21
20170525;2017;5;25;5;21
20170526;2017;5;26;6;21
20170527;2017;5;27;7;21
20170528;2017;5;28;1;22
20170529;2017;5;29;2;22
20170530;2017;5;30;3;22
20170531;2017;5;31;4;22
20170601;2017;6;1;5;22
20170602;2017;6;2;6;22
20170603;2017;6;3;7;22
20170604;2017;6;4;1;23
20170605;2017;6;5;2;23
20170606;2017;6;6;3;23
20170607;2017;6;7;4;23
20170608;2017;6;8;5;23
20170609;2017;6;9;6;23
20170610;2017;6;10;7;23
20170611;2017;6;11;1;24
20170612;2017;6;12;2;24
20170613;2017;6;13;3;24
20170614;2017;6;14;4;24
20170615;2017;6;15;5;24
20170616;2017;6;16;6;24
20170617;2017;6;17;7;24
20170618;2017;6;18;1;25
20170619;2017;6;19;2;25
20170620;2017;6;20;3;25
20170621;2017;6;21;4;25
20170622;2017;6;22;5;25
20170623;2017;6;23;6;25
20170624;2017;6;24;7;25
20170625;2017;6;25;1;26
20170626;2017;6;26;2;26
20170627;2017;6;27;3;26
20170628;2017;6;28;4;26
20170629;2017;6;29;5;26
20170630;2017;6;30;6;26
20170701;2017;7;1;7;26
20170702;2017;7;2;1;27
20170703;2017;7;3;2;27
20170704;2017;7;4;3;27
20170705;2017;7;5;4;27
20170706;2017;7;6;5;27
20170707;2017;7;7;6;27
20170708;2017;7;8;7;27
20170709;2017;7;9;1;28
20170710;2017;7;10;2;28
20170711;2017;7;11;3;28
20170712;2017;7;12;4;28
20170713;2017;7;13;5;28
20170714;2017;7;14;6;28
20170715;2017;7;15;7;28
20170716;2017;7;16;1;29
20170717;2017;7;17;2;29
20170718;2017;7;18;3;29
20170719;2017;7;19;4;29
20170720;2017;7;20;5;29
20170721;2017;7;21;6;29
20170722;2017;7;22;7;29
20170723;2017;7;23;1;30
20170724;2017;7;24;2;30
20170725;2017;7;25;3;30
20170726;2017;7;26;4;30
20170727;2017;7;27;5;30
20170728;2017;7;28;6;30
20170729;2017;7;29;7;30
20170730;2017;7;30;1;31
20170731;2017;7;31;2;31
20170801;2017;8;1;3;31
20170802;2017;8;2;4;31
20170803;2017;8;3;5;31
20170804;2017;8;4;6;31
20170805;2017;8;5;7;31
20170806;2017;8;6;1;32
20170807;2017;8;7;2;32
20170808;2017;8;8;3;32
20170809;2017;8;9;4;32
20170810;2017;8;10;5;32
20170811;2017;8;11;6;32
20170812;2017;8;12;7;32
20170813;2017;8;13;1;33
20170814;2017;8;14;2;33
20170815;2017;8;15;3;33
20170816;2017;8;16;4;33
20170817;2017;8;17;5;33
20170818;2017;8;18;6;33
20170819;2017;8;19;7;33
20170820;2017;8;20;1;34
20170821;2017;8;21;2;34
20170822;2017;8;22;3;34
20170823;2017;8;23;4;34
20170824;2017;8;24;5;34
20170825;2017;8;25;6;34
20170826;2017;8;26;7;34
20170827;2017;8;27;1;35
20170828;2017;8;28;2;35
20170829;2017;8;29;3;35
20170830;2017;8;30;4;35
20170831;2017;8;31;5;35
20170901;2017;9;1;6;35
20170902;2017;9;2;7;35
20170903;2017;9;3;1;36
20170904;2017;9;4;2;36
20170905;2017;9;5;3;36
20170906;2017;9;6;4;36
20170907;2017;9;7;5;36
20170908;2017;9;8;6;36
20170909;2017;9;9;7;36
20170910;2017;9;10;1;37
20170911;2017;9;11;2;37
20170912;2017;9;12;3;37
20170913;2017;9;13;4;37
20170914;2017;9;14;5;37
20170915;2017;9;15;6;37
20170916;2017;9;16;7;37
20170917;2017;9;17;1;38
20170918;2017;9;18;2;38
20170919;2017;9;19;3;38
20170920;2017;9;20;4;38
20170921;2017;9;21;5;38
20170922;2017;9;22;6;38
20170923;2017;9;23;7;38
20170924;2017;9;24;1;39
20170925;2017;9;25;2;39
20170926;2017;9;26;3;39
20170927;2017;9;27;4;39
20170928;2017;9;28;5;39
20170929;2017;9;29;6;39
20170930;2017;9;30;7;39
20171001;2017;10;1;1;40
20171002;2017;10;2;2;40
20171003;2017;10;3;3;40
20171004;2017;10;4;4;40
20171005;2017;10;5;5;40
20171006;2017;10;6;6;40
20171007;2017;10;7;7;40
20171008;2017;10;8;1;41
20171009;2017;10;9;2;41
20171010;2017;10;10;3;41
20171011;2017;10;11;4;41
20171012;2017;10;12;5;41
20171013;2017;10;13;6;41
20171014;2017;10;14;7;41
20171015;2017;10;15;1;42
20171016;2017;10;16;2;42
20171017;2017;10;17;3;42
20171018;2017;10;18;4;42
20171019;2017;10;19;5;42
20171020;2017;10;20;6;42
20171021;2017;10;21;7;42
20171022;2017;10;22;1;43
20171023;2017;10;23;2;43
20171024;2017;10;24;3;43
20171025;2017;10;25;4;43
20171026;2017;10;26;5;43
20171027;2017;10;27;6;43
20171028;2017;10;28;7;43
20171029;2017;10;29;1;44
20171030;2017;10;30;2;44
20171031;2017;10;31;3;44
20171101;2017;11;1;4;44
20171102;2017;11;2;5;44
20171103;2017;11;3;6;44
20171104;2017;11;4;7;44
20171105;2017;11;5;1;45
20171106;2017;11;6;2;45
20171107;2017;11;7;3;45
20171108;2017;11;8;4;45
20171109;2017;11;9;5;45
20171110;2017;11;10;6;45
20171111;2017;11;11;7;45
20171112;2017;11;12;1;46
20171113;2017;11;13;2;46
20171114;2017;11;14;3;46
20171115;2017;11;15;4;46
20171116;2017;11;16;5;46
20171117;2017;11;17;6;46
20171118;2017;11;18;7;46
20171119;2017;11;19;1;47
20171120;2017;11;20;2;47
20171121;2017;11;21;3;47
20171122;2017;11;22;4;47
20171123;2017;11;23;5;47
20171124;2017;11;24;6;47
20171125;2017;11;25;7;47
20171126;2017;11;26;1;48
20171127;2017;11;27;2;48
20171128;2017;11;28;3;48
20171129;2017;11;29;4;48
20171130;2017;11;30;5;48
20171201;2017;12;1;6;48
20171202;2017;12;2;7;48
20171203;2017;12;3;1;49
