date_id;year;month;day;day_of_week;week
20170516;2017;5;16;3;20
20170629;2017;6;29;5;26
20170913;2017;9;13;4;37
20171027;2017;10;27;6;43
20171029;2017;10;29;1;44
20171124;2017;11;24;6;47
20171213;2017;12;13;4;50
20171221;2017;12;21;5;51
20180106;2018;1;6;7;1
20180109;2018;1;9;3;2
20180110;2018;1;10;4;2
20180116;2018;1;16;3;3
20180120;2018;1;20;7;3
20180130;2018;1;30;3;5
20180207;2018;2;7;4;6
20180217;2018;2;17;7;7
20180226;2018;2;26;2;9
20180303;2018;3;3;7;9
20180307;2018;3;7;4;10
20180308;2018;3;8;5;10
20180309;2018;3;9;6;10
20180314;2018;3;14;4;11
20180321;2018;3;21;4;12
20180322;2018;3;22;5;12
20180324;2018;3;24;7;12
20180325;2018;3;25;1;13
20180328;2018;3;28;4;13
20180329;2018;3;29;5;13
20180331;2018;3;31;7;13
20180404;2018;4;4;4;14
20180405;2018;4;5;5;14
20180407;2018;4;7;7;14
20180408;2018;4;8;1;15
20180411;2018;4;11;4;15
20180413;2018;4;13;6;15
20180414;2018;4;14;7;15
20180417;2018;4;17;3;16
20180418;2018;4;18;4;16
20180419;2018;4;19;5;16
20180420;2018;4;20;6;16
20180421;2018;4;21;7;16
20180422;2018;4;22;1;17
20180424;2018;4;24;3;17
20180425;2018;4;25;4;17
20180426;2018;4;26;5;17
20180427;2018;4;27;6;17
20180428;2018;4;28;7;17
20180429;2018;4;29;1;18
20180430;2018;4;30;2;18
20180501;2018;5;1;3;18
20180502;2018;5;2;4;18
20180503;2018;5;3;5;18
20180504;2018;5;4;6;18
20180505;2018;5;5;7;18
20180506;2018;5;6;1;19
20180507;2018;5;7;2;19
20180508;2018;5;8;3;19
20180509;2018;5;9;4;19
20180510;2018;5;10;5;19
20180511;2018;5;11;6;19
20180512;2018;5;12;7;19
20180513;2018;5;13;1;20
20180514;2018;5;14;2;20
20180515;2018;5;15;3;20
20180516;2018;5;16;4;20
20180517;2018;5;17;5;20
20180518;2018;5;18;6;20
20180519;2018;5;19;7;20
20180520;2018;5;20;1;21
20180521;2018;5;21;2;21
20180522;2018;5;22;3;21
20180523;2018;5;23;4;21
20180524;2018;5;24;5;21
20180525;2018;5;25;6;21
20180526;2018;5;26;7;21
20180527;2018;5;27;1;22
20180528;2018;5;28;2;22
20180529;2018;5;29;3;22
20180530;2018;5;30;4;22
20180531;2018;5;31;5;22
20180601;2018;6;1;6;22
20180602;2018;6;2;7;22
20180603;2018;6;3;1;23
20180604;2018;6;4;2;23
